Customer_ID,Rating,Review,Sentiment
,3,Zara Studded Booties is terrible. I regret buying it.,negative
"10,000",1,Patagonia Hiking Boots is terrible. I regret buying it.,negative
"10,001",1,I'm so disappointed with Embroidered ThighHigh Boots. It's not worth it.,negative
"10,002",3,"Not bad, but not great either. Lululemon Hiking Boots is average.",neutral
"10,003",3,Striped Espadrille Flats is terrible. I regret buying it.,negative
"10,004",3,I have mixed feelings about Puma Suede Classic Sneakers.,neutral
"10,005",3,"Not bad, but not great either. Chanel ChainEmbellished Loafers is average.",neutral
"10,006",3,Camo Print SlipOns is okay. It does the job.,neutral
"10,007",5,I couldn't be happier with Adidas NMD R1 Athletic Sneakers.,positive
"10,008",4,I absolutely love Fendi Leather Ankle Boots! It's fantastic.,positive
"10,009",4,I couldn't be happier with Chanel CC Logo HighTop Sneakers.,positive
"10,010",3,I had a bad experience with Calvin Klein Slingback Sandals. Don't buy it.,negative
"10,011",3,Patagonia Wading Boots is terrible. I regret buying it.,negative
"10,012",3,I have mixed feelings about Banana Republic Heeled Mules.,neutral
"10,013",5,I couldn't be happier with Ralph Lauren Ankle Strap Sandals.,positive
"10,014",4,Guess Embossed Logo Loafers is a great purchase. I'm really satisfied.,positive
"10,015",3,The North Face Snow Sneakers is okay. It does the job.,neutral
"10,016",2,Mango Bow Detail Pumps is terrible. I regret buying it.,negative
"10,017",5,Highly recommended! Converse Star Player Ox Sneakers exceeded my expectations.,positive
"10,018",4,I absolutely love Gap LaceUp Booties! It's fantastic.,positive
"10,019",3,Columbia Sportswear Fishing Waders is okay. It does the job.,neutral
"10,020",5,Highly recommended! American Eagle Outfitters LaceUp Ankle Boots exceeded my expectations.,positive
"10,021",3,I had a bad experience with Vans Authentic Canvas Shoes. Don't buy it.,negative
"10,022",3,Balenciaga Track 2 Sneakers is okay. It does the job.,neutral
"10,023",3,"Not bad, but not great either. Uniqlo FlipFlops is average.",neutral
"10,024",3,Calvin Klein Ballet Flats is okay. It does the job.,neutral
"10,025",5,Dolce & Gabbana CrystalDetailed Sandals is a great purchase. I'm really satisfied.,positive
"10,026",4,I couldn't be happier with Balenciaga Triple S Sneakers.,positive
"10,027",3,"Not bad, but not great either. American Eagle Outfitters HighTop Sneakers is average.",neutral
"10,028",3,"Not bad, but not great either. Tommy Hilfiger Canvas SlipOns is average.",neutral
"10,029",3,Banana Republic Patent Leather Pumps is okay. It does the job.,neutral
"10,030",2,I'm so disappointed with Adidas Superstar Sneakers. It's not worth it.,negative
"10,031",4,I absolutely love Diesel Crocodile Embossed Loafers! It's fantastic.,positive
"10,032",4,Puma Suede Classic Sneakers is a great purchase. I'm really satisfied.,positive
"10,033",3,Old Navy Striped Slipper Slides is okay. It does the job.,neutral
"10,034",2,I'm so disappointed with Vans Checkerboard SlipOns. It's not worth it.,negative
"10,035",3,I have mixed feelings about Fendi Pequin Canvas SlipOns.,neutral
"10,036",4,I absolutely love Prada Monochrome Sneakers! It's fantastic.,positive
"10,037",3,Guess LaceUp Gladiator Sandals is okay. It does the job.,neutral
"10,038",5,Puma Suede Classic Sneakers is a great purchase. I'm really satisfied.,positive
"10,039",3,ASOS Chelsea Boots is okay. It does the job.,neutral
"10,040",4,I absolutely love Strappy LingerieInspired Heels! It's fantastic.,positive
"10,041",4,I couldn't be happier with Ralph Lauren Leather Driving Shoes.,positive
"10,042",3,J.Crew Leopard Print Sandals is okay. It does the job.,neutral
"10,043",1,I had a bad experience with Gap Classic Canvas Sneakers. Don't buy it.,negative
"10,044",2,I had a bad experience with Nike Zoom Pegasus Turbo Sneakers. Don't buy it.,negative
"10,045",3,Exaggerated Sole Loafers is okay. It does the job.,neutral
"10,046",3,Avoid Vans Suede SlipOns at all costs. It's a waste of money.,negative
"10,047",4,Fila Memory Foam Athletic Sneakers is a great purchase. I'm really satisfied.,positive
"10,048",5,Banana Republic Sock Booties is a great purchase. I'm really satisfied.,positive
"10,049",3,Avoid Classic White Sneakers at all costs. It's a waste of money.,negative
"10,050",4,I couldn't be happier with Banana Republic Logo Sneakers.,positive
"10,051",3,I have mixed feelings about Versace Medusa Head HighTop Sneakers.,neutral
"10,052",3,I have mixed feelings about Converse Chuck Taylor All Star II Sneakers.,neutral
"10,053",4,I couldn't be happier with Tommy Hilfiger Logo HighTop Sneakers.,positive
"10,054",3,Fendi Leather Ankle Boots is okay. It does the job.,neutral
"10,055",3,Burberry Canvas SlipOns is okay. It does the job.,neutral
"10,056",3,"Not bad, but not great either. Michael Kors Embossed Leather Loafers is average.",neutral
"10,057",3,YSL Python Print Booties is okay. It does the job.,neutral
"10,058",4,I couldn't be happier with ASOS SlipOn Loafers.,positive
